Real,Imaginary
-6.03612,1.08069
-6.03623,1.08228
-6.03633,1.08386
-6.03644,1.08544
-6.03654,1.08703
-6.03665,1.08861
-6.03675,1.09020
-6.03686,1.09178
-6.03697,1.09337
-6.03707,1.09495
-6.03718,1.09654
-6.03728,1.09812
-6.03739,1.09971
-6.03750,1.10130
-6.03760,1.10288
-6.03771,1.10447
-6.03782,1.10605
-6.03793,1.10764
-6.03803,1.10923
-6.03814,1.11081
-6.03825,1.11240
-6.03836,1.11399
-6.03847,1.11557
-6.03857,1.11716
-6.03868,1.11875
-6.03879,1.12034
-6.03890,1.12192
-6.03901,1.12351
-6.03912,1.12510
-6.03923,1.12669
-6.03934,1.12828
-6.03945,1.12986
-6.03956,1.13145
-6.03967,1.13304
-6.03978,1.13463
-6.03989,1.13622
-6.04000,1.13781
-6.04011,1.13940
-6.04022,1.14099
-6.04033,1.14258
-6.04044,1.14417
-6.04055,1.14576
-6.04066,1.14735
-6.04077,1.14894
-6.04089,1.15053
-6.04100,1.15212
-6.04111,1.15371
-6.04122,1.15530
-6.04133,1.15689
-6.04145,1.15848
-6.04156,1.16007
-6.04167,1.16167
-6.04178,1.16326
-6.04190,1.16485
-6.04201,1.16644
-6.04212,1.16803
-6.04224,1.16963
-6.04235,1.17122
-6.04247,1.17281
-6.04258,1.17440
-6.04269,1.17600
-6.04281,1.17759
-6.04292,1.17918
-6.04304,1.18078
-6.04315,1.18237
-6.04327,1.18396
-6.04338,1.18556
-6.04350,1.18715
-6.04361,1.18875
-6.04373,1.19034
-6.04384,1.19193
-6.04396,1.19353
-6.04408,1.19512
-6.04419,1.19672
-6.04431,1.19831
-6.04443,1.19991
-6.04454,1.20151
-6.04466,1.20310
-6.04478,1.20470
-6.04489,1.20629
-6.04501,1.20789
-6.04513,1.20949
-6.04525,1.21108
-6.04536,1.21268
-6.04548,1.21428
-6.04560,1.21587
-6.04572,1.21747
-6.04584,1.21907
-6.04596,1.22066
-6.04607,1.22226
-6.04619,1.22386
-6.04631,1.22546
-6.04643,1.22706
-6.04655,1.22866
-6.04667,1.23025
-6.04679,1.23185
-6.04691,1.23345
-6.04703,1.23505
-6.04715,1.23665
-6.04727,1.23825
-6.04739,1.23985
-6.04751,1.24145
-6.04763,1.24305
-6.04776,1.24465
-6.04788,1.24625
-6.04800,1.24785
-6.04812,1.24945
-6.04824,1.25105
-6.04836,1.25265
-6.04848,1.25425
-6.04861,1.25585
-6.04873,1.25745
-6.04885,1.25906
-6.04897,1.26066
-6.04910,1.26226
-6.04922,1.26386
-6.04934,1.26546
-6.04947,1.26707
-6.04959,1.26867
-6.04971,1.27027
-6.04984,1.27187
-6.04996,1.27348
-6.05009,1.27508
-6.05021,1.27668
-6.05033,1.27829
-6.05046,1.27989
-6.05058,1.28150
-6.05071,1.28310
-6.05083,1.28470
-6.05096,1.28631
-6.05108,1.28791
-6.05121,1.28952
-6.05134,1.29112
-6.05146,1.29273
-6.05159,1.29433
-6.05171,1.29594
-6.05184,1.29755
-6.05197,1.29915
-6.05209,1.30076
-6.05222,1.30236
-6.05235,1.30397
-6.05247,1.30558
-6.05260,1.30718
-6.05273,1.30879
-6.05286,1.31040
-6.05299,1.31201
-6.05311,1.31361
-6.05324,1.31522
-6.05337,1.31683
-6.05350,1.31844
-6.05363,1.32004
-6.05376,1.32165
-6.05388,1.32326
-6.05401,1.32487
-6.05414,1.32648
-6.05427,1.32809
-6.05440,1.32970
-6.05453,1.33131
-6.05466,1.33292
-6.05479,1.33453
-6.05492,1.33614
-6.05505,1.33775
-6.05518,1.33936
-6.05531,1.34097
-6.05544,1.34258
-6.05558,1.34419
-6.05571,1.34580
-6.05584,1.34741
-6.05597,1.34902
-6.05610,1.35064
-6.05623,1.35225
-6.05637,1.35386
-6.05650,1.35547
-6.05663,1.35708
-6.05676,1.35870
